gene name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC22A16,15.20348459,-0.396086288,0.409543481,-0.96714099,0.333473557,0.541165275
ZMYND10,16.72015194,-0.377620739,0.531923303,-0.709915766,0.477756373,0.67799908
ABCB5,16.21583688,-0.269142729,0.586129203,-0.459186692,0.646100106,0.805920068
ARX,13.03656305,-0.537070911,0.698070446,-0.769364918,NA,NA
SLC25A13,63.89053136,-0.007173732,0.339213735,-0.021148118,0.983127501,0.992921846
ST7,49.79872881,-1.884246146,0.332339073,-5.669649757,1.43E-08,2.08E-07
CDC27,917.5149394,-0.623203755,0.203487297,-3.062617483,0.002194103,0.009877458
SLC4A1,21.64763811,0.410376369,0.381193738,1.076555902,0.281678714,0.486336196
CALCR,0.973676542,0.560557787,0.688001409,0.814762557,0.415208237,NA
HCCS,94.02597808,-0.287501713,0.247565542,-1.161315548,0.245513599,0.443972858
DVL2,95.35091528,0.357107724,0.370144237,0.964779913,0.334655059,0.542645098
PRSS22,1.648398435,-0.173676452,0.727188729,-0.238832707,0.811235308,NA
UPF1,312.9390983,-0.298609924,0.335173291,-0.89091205,0.372976355,0.58093001
SKAP2,74.19508126,-0.449571946,0.393669119,-1.142004602,0.253452107,0.452661034
SLC25A5,839.5868238,-1.63052158,0.154937801,-10.52371705,6.72E-26,6.58E-24
MCUB,760.6452491,-0.168057218,0.164465582,-1.021838227,0.306857473,0.513843478
HOXA11,0.059325326,0.085169654,0.48574618,0.175337773,0.860814233,NA
POLR2J,126.7144246,-0.876457438,0.255421294,-3.431418824,0.000600433,0.003198048
DHX33,196.9747415,-0.404318747,0.207837589,-1.945359115,0.051731772,0.137206636
MEOX1,12.74780464,0.145224159,0.549758525,0.264159904,0.791656706,0.896856687
THSD7A,10.78677003,0.986105687,0.736266574,1.339332413,NA,NA
LIG3,606.4371195,0.124654831,0.199008103,0.62638068,0.531065279,0.720070998
RPAP3,432.3472933,-0.135848425,0.222124834,-0.611585939,0.540811744,0.72772463
ACSM3,153.312967,1.366125371,0.279557428,4.886743246,1.03E-06,1.08E-05
REXO5,14.51605844,-2.347678742,0.525890795,-4.4641944,8.04E-06,6.96E-05
CIAPIN1,196.0717861,0.740743626,0.231618521,3.198119151,0.001383271,0.00661915
SPPL2B,149.7828779,0.909394382,0.335555252,2.710118157,0.006725924,0.025743624
FAM214B,39.1259819,-1.697337537,0.388358651,-4.37054133,1.24E-05,0.000103108
COPZ2,3.206055365,-0.82888185,0.68307392,-1.213458494,0.224954574,0.418969708
PRKAR2B,4.570506137,0.535413156,0.649732926,0.824051136,0.409910503,0.616910818
MSL3,1088.575004,0.927306435,0.172957888,5.361457915,8.26E-08,1.07E-06
CREBBP,3983.506561,0.049992074,0.307615439,0.162514842,0.870900442,0.938102827
TSPOAP1,200.885081,-2.40115763,0.352915,-6.803784559,1.02E-11,2.42E-10
MPO,2.37544185,-0.487450901,0.679966081,-0.71687532,NA,NA
PON1,4.574734508,0.374933504,0.714772139,0.524549689,0.599896269,0.772169262
GCFC2,334.6108056,0.120905402,0.257534096,0.469473377,0.638731311,0.800279819
WDR54,124.4422246,-0.046798939,0.248557307,-0.188282292,0.850655366,0.927551332
CROT,144.1470566,-0.432319815,0.298084135,-1.450328163,0.146967029,0.307111098
ABCB4,7.172093302,-0.324881078,0.584939863,-0.555409366,0.578614688,0.75699233
KMT2E,5380.166381,0.296409802,0.212188409,1.396917972,0.16243824,0.329746605
RHBDD2,285.6227567,0.121577158,0.303635433,0.400405041,0.688858212,0.835328947
SOX8,17.32963243,3.211681172,0.630491607,5.093931683,3.51E-07,4.03E-06
IBTK,572.4302737,-1.00309338,0.250000418,-4.012366804,6.01E-05,0.000418154
ZNF195,382.1754764,0.19507347,0.135535098,1.43928379,0.150070134,0.311316238
MYCBP2,6626.631595,0.305641279,0.165030365,1.85203056,0.064021435,0.162176163
FBXL3,516.2952849,0.788207488,0.205667892,3.832428482,0.000126884,0.000807534
ITGAL,5239.439054,-1.476681961,0.202054547,-7.30833325,2.70E-13,7.89E-12
PDK2,185.3285334,-0.411141564,0.235968268,-1.742359548,0.08144555,0.195773236
ITGA3,58.50712437,0.363489137,0.385888308,0.941954263,0.346216057,0.554318618
ZFX,1153.857931,0.240645521,0.250399105,0.961047849,0.33652811,0.544692854
LAMP2,850.3004259,-0.789145724,0.204448416,-3.859876932,0.000113444,0.000732836
ITGA2B,12.3383601,-0.910200484,0.621470475,-1.464591675,0.143032355,0.301230133
ASB4,53.57774582,0.077768149,0.312935591,0.248511677,0.803738536,0.904152431
GDE1,303.4770659,-1.464159639,0.214549545,-6.824342775,8.83E-12,2.12E-10
REX1BD,193.4448952,0.861158515,0.276355462,3.116126274,0.001832438,0.008452359
CRLF1,28.15156291,-0.124195178,0.475554686,-0.261158563,0.793970232,0.898067706
OSBPL7,177.5650981,-1.303632342,0.377215341,-3.455936707,0.000548384,0.002951442
TMEM98,9.293853623,0.457421119,0.544120335,0.840661687,0.40053749,0.607784354
YBX2,1.357013246,-0.103919697,0.720436103,-0.144245544,0.885306578,NA
KRT33A,0.219613487,-0.050179462,0.485858964,-0.103279894,0.917740832,NA
MAP3K14,232.27246,-0.110689882,0.215626192,-0.51334154,0.607712431,0.777751174
ABCC8,2.262014536,0.035101595,0.700187088,0.050131737,0.960017409,0.982794228
CACNG3,7.929430442,0.379800981,0.568495373,0.668081043,0.504081862,0.6992468
TMEM132A,15.8316437,1.720267068,0.486427416,3.536533946,0.000405414,0.002270223
AP2B1,2226.782245,-0.454364725,0.156468687,-2.903869988,0.003685812,0.015520163
TAC1,0.510339459,-0.081423954,0.521664795,-0.156084816,0.875966166,NA
ZNF263,249.4448618,0.841520247,0.255287267,3.296365919,0.000979444,0.004904355
CX3CL1,8.481647665,-0.160805364,0.593056454,-0.271146807,0.786278122,0.894745245
SPATA20,143.7280438,0.372898494,0.338160872,1.102725137,0.270146547,0.472361804
CACNA1G,10.11889289,0.091880418,0.516644189,0.177840803,0.858848002,0.931724349
TNFRSF12A,0.973829171,-0.188665857,0.721910684,-0.261342381,0.793828487,NA
DLX6,2.751562953,-0.043393085,0.679978694,-0.06381536,0.949117248,0.978172836
MAP3K9,143.1471751,0.261911002,0.335090355,0.781613074,0.434442001,0.639765677
RALA,269.4508272,0.190228271,0.215281405,0.883626113,0.376898078,0.584517389
BAIAP2L1,24.44693474,1.266879129,0.535150375,2.367332975,0.017916805,0.0582623
KDM7A,1658.230876,-0.190457194,0.253098312,-0.752502822,0.451748733,0.654344355
ETV1,3.901832871,-0.238737558,0.737924677,-0.323525646,0.746297188,0.872915039
AGK,460.5217841,-1.665746575,0.174606258,-9.540016485,1.43E-21,9.33E-20
ALDH3B1,20.86910993,0.184999796,0.519571725,0.356062093,0.721794065,0.856757274
TTC22,128.0408,-0.546787246,0.250955563,-2.178820985,0.029344969,0.08691058
PHTF2,174.4896277,-0.323754608,0.236017323,-1.371740867,0.170144121,0.34102796
CCL26,0.090536214,0,0.48574618,0,1,NA
FARP2,175.5435721,-0.171342714,0.287272923,-0.596445749,0.550877486,0.736408641
USH1C,1.290678494,0.123184236,0.69052281,0.178392711,0.858414573,NA
GGCT,69.29698737,-1.906474344,0.291905454,-6.531136429,6.53E-11,1.39E-09
DBF4,156.45309,-0.515374507,0.249288038,-2.067385624,0.038697832,0.108448467
TBXA2R,47.3778498,0.948266029,0.385407293,2.460425754,0.013877228,0.047290657
IFRD1,606.4806235,0.124650611,0.328170879,0.379834466,0.704068296,0.844991268
LGALS14,6.456031155,0.273143778,0.607207414,0.449836039,0.65282867,0.811475878
COX10,138.8965019,-0.507693797,0.270901524,-1.874089853,0.060918042,0.156227745
GTF2IRD1,23.47316958,-0.223422145,0.384363716,-0.581277928,0.561053154,0.744179143
PAF1,392.5136714,0.359096709,0.308865924,1.162629743,0.244979758,0.443358157
VPS41,356.1769205,-0.849875777,0.235646172,-3.606575777,0.000310264,0.001794831
ARHGAP44,30.0740075,0.573681934,0.381348024,1.504352713,0.132490573,0.284256402
ELAC2,260.5473022,0.095451717,0.271729668,0.351274549,0.725382387,0.859396771
SCIN,119.6772944,-0.013890592,0.284114263,-0.048890864,0.961006269,0.982832872
ARSD,71.4006378,0.355317315,0.30346655,1.170861547,0.241654434,0.43949409
PNPLA4,107.113726,0.159876225,0.294295157,0.543251294,0.586956794,0.762656918
MYH13,0.592960797,0.496454085,0.61995822,0.800786358,0.423255338,NA
ADIPOR2,245.6038187,-0.782967407,0.336210715,-2.328799684,0.01986968,0.063250224
CDKL3,31.44400031,0.540914179,0.414220065,1.305861846,0.191599544,0.373124314
UPP2,9.993211161,1.062058997,0.524555884,2.02468227,0.0429,0.117786119
PRSS21,2.461569591,-0.173323764,0.742407107,-0.233461886,0.815402762,0.910057961
MARK4,106.6862401,-0.24958161,0.246848204,-1.011073228,0.311981383,0.519379297
PROM1,6.451119543,0.147035644,0.717222516,0.205007011,0.837566648,0.919351389
CCDC124,36.90867668,-0.169647705,0.405572172,-0.418292272,0.675733439,0.826441749
CEACAM21,71.05787286,0.959857322,0.331398712,2.896382174,0.003774924,0.015833684
PAFAH1B1,1727.928737,-0.628330983,0.188633334,-3.330964728,0.000865456,0.004400091
NOS2,1.728090394,0.974530962,0.734724115,1.326390331,0.18471044,NA
DNAH9,9.712755899,0.393947787,0.646477489,0.609375878,0.542275323,0.729059482
KIAA0100,1137.31096,-0.109692482,0.179038849,-0.612674192,0.54009179,0.727157827
SLC13A2,0.697788697,0.336977215,0.601964058,0.559796238,0.57561843,NA
GAS7,96.00220049,-2.853109597,0.420225682,-6.789469854,1.13E-11,2.66E-10
TRAPPC6A,42.78879784,0.562547304,0.358957511,1.567169614,0.117075051,0.259031168
MATK,104.3084627,-1.456865701,0.346948194,-4.199087141,2.68E-05,0.000204517
CEACAM7,0.118650652,0.150154594,0.48574618,0.309121513,0.757229095,NA
CD79B,16.2951617,-0.792015142,0.601922602,-1.315808942,0.188238177,0.368157087
SCN4A,3.182815871,0.360969264,0.733329213,0.49223358,0.622554228,0.788693392
ST7L,390.0663061,0.858824559,0.217481241,3.948959261,7.85E-05,0.000527601
TKTL1,42.32620322,2.20196347,0.504837665,4.3617258,1.29E-05,0.000106921
PAX6,21.97668864,0.564673613,0.438930453,1.286476273,0.198276894,0.381972459
RPUSD1,48.65418693,-0.905300323,0.334428975,-2.707003251,0.006789359,0.025956421
RHBDF1,1.721462367,-0.195859668,0.696272642,-0.281297377,0.778482322,NA
LUC7L,1229.725185,0.929194629,0.165871959,5.601878902,2.12E-08,3.00E-07
CACNA2D2,144.6361719,-0.42238724,0.30995337,-1.362744468,0.172963058,0.345404806
BAIAP3,27.7014162,-1.009944783,0.564938384,-1.787707849,0.073823155,0.181255581
TSR3,81.10913525,-0.807011453,0.247998241,-3.254101516,0.001137516,0.005587292
PIGQ,96.66120895,0.360169984,0.333545615,1.079822274,0.280221331,0.484678923
CRAMP1,221.7843382,-0.059305401,0.278358103,-0.213054336,0.831284581,0.91682411
TEAD3,4.784864168,0.274647188,0.740229361,0.371029848,0.7106153,0.849312954
SELE,4.258023006,-0.490175339,0.725451716,-0.675682927,0.499241978,0.696072236
DNAJC11,225.4308201,-0.174159578,0.214238358,-0.81292435,0.416261432,0.623032037
FMO3,2.738526102,0.424244487,0.73797704,0.574874914,0.565375897,0.747347464
MYLIP,1378.672041,1.122080815,0.300318733,3.736299779,0.000186748,0.001139654
NOX1,2.453604896,0.023777839,0.726088466,0.032747853,0.973875663,0.988691107
E2F2,56.39916335,-5.011194075,0.422320272,-11.86586202,1.78E-32,2.95E-30
PSMB1,381.1898938,-0.982902927,0.176240671,-5.577049392,2.45E-08,3.44E-07
SYN1,9.962116416,0.329523972,0.709675258,0.464330648,0.64241087,0.803358993
JARID2,965.5191318,-0.786977879,0.178306765,-4.413617611,1.02E-05,8.64E-05
CDKL5,267.3243108,0.563509387,0.270129494,2.086071311,0.036972164,0.104575025
CAMK1G,0.769722464,0.212517777,0.598663003,0.354987323,0.722599088,NA
CDK11A,454.8200468,0.204102648,0.200364881,1.018654799,0.308366879,0.515296554
NADK,189.3794253,-0.11303699,0.43099117,-0.262272172,0.793111615,0.897621198
TFAP2B,0.852610621,-0.519191427,0.65243111,-0.795779691,0.426160098,NA
TFAP2D,0.470397014,-0.430684608,0.516163684,-0.834395408,0.404058204,NA
DLEC1,128.0553633,0.582565806,0.412136316,1.413526989,0.157500831,0.323225158
CYTH3,39.98331486,0.072124083,0.53419835,0.135013677,0.892601061,0.951041516
ADAM22,170.5842793,1.016336414,0.263175476,3.861820366,0.000112545,0.000728013
SYPL1,242.0730394,1.90427835,0.22444951,8.484217018,2.17E-17,9.76E-16
CYB561,177.7081859,-0.586556329,0.320631322,-1.82937938,0.067342794,0.168784588
SPAG9,584.5338306,-0.290847834,0.161938722,-1.796036366,0.072488734,0.178783699
CELSR3,137.47692,0.799789443,0.341250366,2.343702813,0.019093378,0.061326239
AASS,44.86703674,1.996708937,0.384473649,5.19335705,2.07E-07,2.48E-06
PLEKHG6,32.99763471,0.065997962,0.41978295,0.157219254,0.875072054,0.940793673
SS18L2,136.2341759,-0.987025726,0.239912452,-4.11410795,3.89E-05,0.000284337
MPND,27.53910557,-0.614988328,0.477768199,-1.287210679,0.198020866,0.381840049
MGST1,37.87589152,-0.089064743,0.391165107,-0.227690919,0.819886533,0.912132881
CRY1,257.6023702,0.328994037,0.256331607,1.283470426,0.199327314,0.383164473
PGLYRP1,2.276909764,1.794949571,0.727856451,2.466076337,0.013660222,0.04673141
NFIX,46.48645138,1.132543203,0.49288052,2.297804755,0.021572904,0.067747373
ST3GAL1,1865.606178,1.115159457,0.17793141,6.267355803,3.67E-10,6.99E-09
MMP25,112.1496352,0.279594981,0.322833449,0.866065714,0.386454126,0.593659225
IL32,1631.969979,-1.636060643,0.291284574,-5.616708854,1.95E-08,2.77E-07
PKD1,324.7784458,0.774502697,0.201338335,3.846772125,0.000119684,0.000767611
MAPK8IP2,24.3668547,0.258157825,0.376932421,0.684891535,0.493412368,0.690956088
MED24,271.8000069,0.120610257,0.261981189,0.460377547,0.645245248,0.805395266
RHOBTB2,103.2230601,0.080052585,0.37489473,0.213533504,0.830910859,0.916760183
HEATR5B,988.4389938,-0.007793388,0.240213869,-0.032443538,0.974118343,0.988723902
SEC62,1035.191833,0.743863274,0.15929374,4.669758366,3.02E-06,2.88E-05
RPS20,9247.879522,0.836934107,0.187067943,4.473957937,7.68E-06,6.68E-05
CSDE1,7849.075443,0.184794727,0.181541565,1.017919653,0.308716141,0.515508718
UBE3C,623.2596301,-0.095267715,0.21440644,-0.444332341,0.656802323,0.814236636
REV3L,906.659322,-0.334617621,0.147660861,-2.266122651,0.023443875,0.072585241
TENM1,646.2539857,-1.824385405,0.333220434,-5.475010587,4.37E-08,5.92E-07
PAX7,1.108025749,-0.568364689,0.671782945,-0.846054061,NA,NA
MASP2,258.863094,0.923062426,0.267973881,3.444598485,0.000571908,0.003062945
IYD,58.10485429,0.642610185,0.298353881,2.153852271,0.031251759,0.091289975
FAM76A,137.304894,0.408983311,0.297219173,1.376032734,0.168811499,0.339342391
TRAF3IP3,2919.043879,0.347801028,0.191318624,1.817915163,0.0690771,0.172386113
POMT2,64.45443742,-0.065524683,0.352819635,-0.185717225,0.85266652,0.928633674
VTA1,320.7563274,-0.865731901,0.17886383,-4.840173117,1.30E-06,1.34E-05
MLXIPL,8.396767622,-0.647417087,0.545655545,-1.186494105,0.235427228,0.431798907
BAZ1B,1994.26544,-0.788265065,0.168126746,-4.688516745,2.75E-06,2.66E-05
RANBP9,1006.321736,-0.967317153,0.172010953,-5.623578837,1.87E-08,2.67E-07
ETV7,32.10350583,0.099480078,0.361453139,0.275222614,0.783145215,0.892737546
SPRTN,150.0402221,-0.435419607,0.226493879,-1.922434326,0.05455113,0.143164883
METTL13,133.7290405,-0.574269534,0.375077374,-1.531069517,0.125752213,0.273371812
DYRK4,94.87907195,0.339638574,0.31408039,1.081374657,0.27953049,0.483890049
ZNF207,3561.995296,-0.472127594,0.143334075,-3.293896407,0.000988089,0.004934328
UQCRC1,85.54849214,-0.998747228,0.239746757,-4.165842491,3.10E-05,0.000232428
STARD3NL,162.9596208,-1.247138897,0.224643394,-5.551638424,2.83E-08,3.94E-07
CD9,10.04887624,1.817403447,0.611215014,2.973427361,0.002944941,0.012774035
HHATL,0.439728739,-0.345377759,0.558736269,-0.618140934,0.536482441,NA
NCAPD2,514.4230798,-1.114119145,0.22986854,-4.846766536,1.25E-06,1.30E-05
IFFO1,246.3471296,0.009469055,0.303978032,0.031150458,0.97514955,0.989388813
GIPR,87.60692683,0.749178438,0.369241117,2.028968072,0.042461542,0.116876341
PHF7,51.8587441,0.440424112,0.450767563,0.977053691,0.328542572,0.535740687
SEMA3G,1.512386865,-1.250936915,0.721990957,-1.732621305,0.083163,NA
NISCH,639.3561705,0.431885816,0.156508359,2.759506384,0.005788876,0.022666784
STAB1,4.640043309,0.875000265,0.733898569,1.192263212,0.233158054,0.429042193
FUZ,34.90660053,0.551775332,0.397476453,1.388196274,0.165077287,0.333794867
SLC6A13,3.232637111,0.878939688,0.699319489,1.256849983,0.208807963,0.396500034
IDS,4226.708756,0.164901955,0.232418386,0.709504777,0.478011288,0.678174813
PRSS3,2.208857517,0.781190636,0.728573552,1.072219317,0.283621536,0.488465163
ZNF200,209.1847182,0.011834872,0.243390889,0.04862496,0.961218178,0.982882141
CD4,12.58716508,-0.74524058,0.60031986,-1.241405838,0.214455863,0.40449219
LRRC23,44.15497362,1.531075891,0.381895687,4.009146852,6.09E-05,0.000422787
BTK,2.21456946,-0.826618821,0.742242119,-1.113678137,0.265417292,0.466864662
HFE,31.86804576,0.220398842,0.464854105,0.474124763,0.635410941,0.797668049
SCMH1,267.3798657,0.257092859,0.262447943,0.979595633,0.327285762,0.534564299
FYN,2330.740984,-0.982413964,0.15797931,-6.218624232,5.02E-10,9.27E-09
HIVEP2,3786.947213,0.401371727,0.146806493,2.734018898,0.006256645,0.024267883
FMO1,3.326190953,0.105859122,0.741029986,0.142854033,0.886405462,0.947160127
ELOA,291.6753407,-0.583275401,0.205241446,-2.841898711,0.004484574,0.018305349
LYPLA2,142.4072743,-0.434970688,0.278603933,-1.561251068,0.118464524,0.261450612
CLCN6,240.3606694,0.184947126,0.295188482,0.626539101,0.530961398,0.720005545
MRC2,27.61193008,3.031235234,0.548438262,5.52703092,3.26E-08,4.50E-07
NME1-NME2,5.175403094,-0.667379367,0.729276618,-0.915125141,0.360125938,0.568020439
SLC6A7,1.655252624,0.870965071,0.692759914,1.257239418,0.208666954,NA
TSPAN9,2.02502214,-0.160607612,0.719669136,-0.223168681,0.823404226,0.913460217
BTBD7,289.4484315,-0.207948179,0.184778999,-1.125388596,0.260424401,0.460966844
APBA3,73.37065753,-0.555778892,0.267862672,-2.074865031,0.037999045,0.106876636
MKS1,62.87393639,0.777468571,0.311329644,2.497251983,0.012515998,0.043424523
ABHD5,56.18625079,-1.425290327,0.327481644,-4.352275477,1.35E-05,0.000111042
ANOS1,5.265793416,0.67790879,0.67539289,1.00372509,0.31551114,0.523292891
AKAP8L,279.3059497,0.233536789,0.177959831,1.312300579,0.189418737,0.369904885
MBTD1,420.7261841,0.174377338,0.284902665,0.612059341,0.540498497,0.727362015
UTP18,318.2702391,0.33344906,0.247094723,1.349478674,0.177183266,0.351524323
RNF216,1251.31037,0.71758126,0.182590292,3.93000773,8.49E-05,0.000566247
TTC19,708.4209429,0.238877385,0.189447916,1.260913238,0.207340108,0.39435859
PTBP1,1120.542142,-0.812763218,0.181003283,-4.490323075,7.11E-06,6.21E-05
DPF1,15.7256133,0.562202706,0.535184403,1.050484101,0.293495597,0.499626566
SYT7,1.559119128,-0.068194372,0.721820021,-0.094475589,0.924731373,NA
LARS2,153.6739857,-0.099337647,0.337629435,-0.294220932,0.768589087,0.885901074
PIK3C2A,881.4390313,0.633522213,0.212441802,2.982097716,0.002862806,0.012467319
PLAUR,40.04318437,0.483113901,0.375437976,1.286800835,0.198163716,0.381877351
ANLN,86.61972169,-4.292671907,0.359031339,-11.95625962,6.02E-33,1.02E-30
WIZ,187.8761775,-0.188321127,0.241068088,-0.781194759,0.434687956,0.639890413
RABGAP1,596.4504074,0.11324018,0.227361888,0.498061398,0.618440768,0.785352955
DCN,43.82324282,-0.242213736,0.329385171,-0.735351065,0.462125716,0.664292289
QPCTL,28.51266064,0.121162351,0.506051117,0.239427098,0.810774419,0.907703627
PPP5C,322.3222785,-0.740854306,0.193439995,-3.829892097,0.000128199,0.000813948
CEP68,755.1363231,1.630271351,0.185344232,8.795910881,1.42E-18,7.08E-17
MAP4K3,194.462034,1.169510428,0.179004588,6.533410352,6.43E-11,1.37E-09
ZBTB32,10.37733451,-0.555501438,0.583464637,-0.952073876,0.341059517,0.548828667
TYROBP,12.70173269,-2.110030883,0.648027191,-3.256083867,0.001129604,0.005551367
TMEM159,17.01182338,-0.177009283,0.419501034,-0.42195196,0.673060083,0.824971093
GABRA3,5.621861032,0.291102502,0.741443355,0.39261597,0.694603142,0.838186386
BRCA1,130.7773132,-2.488734776,0.29770802,-8.359649758,6.29E-17,2.71E-15
ERCC1,221.810556,0.215847062,0.23876648,0.904009064,0.365990595,0.57380694
CD22,35.95339647,0.519846843,0.47552175,1.093213596,0.274300029,0.477285137
SEMA3B,3.774609639,0.755451628,0.698010971,1.082291911,0.279122839,0.483500178
MBTPS2,144.5556221,-0.059838729,0.314813387,-0.190076824,0.849248931,0.927107577
PRICKLE3,60.08541448,-0.27956464,0.355213932,-0.787031742,0.431263285,0.637253661
LTF,3.242105567,-0.696881566,0.726865318,-0.958749232,0.33768509,0.545898727
EXTL3,168.6957484,0.136956016,0.376193508,0.364057362,0.715815176,0.852690583
NR1H4,1.371913196,0.290328873,0.658342402,0.440999808,0.659213136,NA
ELOVL5,602.364943,-1.761168628,0.179297766,-9.822591047,9.00E-23,6.50E-21
ALOX5,7.076229863,0.704021298,0.69714807,1.009859064,0.312562817,0.519966409
KDM5D,612.5165611,-0.047168685,0.731161265,-0.064512013,0.948562542,0.977925397
CALCOCO1,924.5695794,-0.675559297,0.231790989,-2.914519232,0.003562369,0.015071622
UBR7,108.2317816,-1.324420169,0.249627434,-5.305587413,1.12E-07,1.42E-06
MAP4K5,455.8576951,-0.47413126,0.193056881,-2.455914841,0.014052645,0.047794778
EHD3,78.83234274,0.107360444,0.268684407,0.399578246,0.689467182,0.835697706
PSMC4,100.8579873,-1.608907705,0.245218845,-6.561109538,5.34E-11,1.15E-09
